0.000000000000000000e+00,7.795100222717149530e-03,6.310319227913883076e-03,1.057906458797327337e-02,6.681514476614699473e-03,8.351893095768374992e-03,6.867112100965107671e-03
2.041573867854491482e-03,8.723088344469191388e-03,1.299183370452858255e-02,1.930215293244246302e-02,1.893095768374164836e-02,1.688938381588715731e-02,4.454342984409799359e-03
5.011135857461024821e-03,1.169265033407572429e-02,2.765404602821083802e-02,3.303637713437267837e-02,3.043801039346696533e-02,2.357089829250185592e-02,1.373422420193021534e-02
1.020786933927245697e-02,1.800296956198960824e-02,3.155159613956941278e-02,4.027468448403860590e-02,3.823311061618411139e-02,3.062360801781737266e-02,1.726057906458797198e-02
8.351893095768374992e-03,1.985894580549368849e-02,3.544914625092798754e-02,3.860430586488492605e-02,3.767631774313288939e-02,3.823311061618411139e-02,1.837416481069042290e-02
8.351893095768374992e-03,1.187824795842613163e-02,2.839643652561247081e-02,3.582034149962880221e-02,3.303637713437267837e-02,2.394209354120267405e-02,1.410541945063103174e-02
6.681514476614699473e-03,8.351893095768374992e-03,1.707498144023756464e-02,1.614699331848552452e-02,1.763177431328879011e-02,1.410541945063103174e-02,8.166295471417965926e-03
2.783964365256124708e-03,7.609502598366741331e-03,7.609502598366741331e-03,9.465478841870824181e-03,6.867112100965107671e-03,4.825538233110615756e-03,4.454342984409799359e-03
7.423904974016332266e-04,0.000000000000000000e+00,2.412769116555307878e-03,3.897550111358574765e-03,2.412769116555307878e-03,4.268745360059391161e-03,4.268745360059391161e-03
0.000000000000000000e+00,1.670378619153674868e-03,1.484780994803266453e-03,2.598366740905716510e-03,0.000000000000000000e+00,1.484780994803266453e-03,5.567928730512249199e-04
0.000000000000000000e+00,2.598366740905716510e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.567928730512249199e-04,2.969561989606532906e-03,0.000000000000000000e+00
3.526354862657757935e-03,1.113585746102449840e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.423904974016332266e-04,0.000000000000000000e+00,1.670378619153674868e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.711952487008166133e-03
5.753526354862657614e-03,3.155159613956941538e-03,1.855976243504083066e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.227171492204899680e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.279881217520415332e-04
